Summary,Issue Type,Labels,Description
Session Doesn't expires when password changed using forgot password,Bug,Security,"h3. *Session Doesn't Expire When Password is Changed Using Forgot Password*

*Severity:* High
*CVSS Score:* 7.5 (High)
*Vector:* {{CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N}}

h4. *Description:*

The application allows users to reset their passwords via the *forgot password* functionality, but existing active sessions remain valid even after the password is changed. This introduces a critical security risk, as an attacker who has already gained unauthorized access to a session can continue operating without disruption, despite the user resetting their password.

h4. *Impact:*

* If an attacker has hijacked a session, they can *maintain access to the account even after the password is reset*.
* This negates the *forgot password mechanism as a security control*, making it ineffective against session hijacking attacks.
* The *attacker retains access to sensitive data and functionalities*, potentially leading to unauthorized actions.

h4. *Root Cause:*

The system does not *invalidate all active sessions* upon password reset, failing to enforce session security best practices.

h4. *Solution:*

* *Invalidate all active sessions* when the password is reset via the forgot password mechanism.
* *Force a logout across all devices*, requiring users to log in again with the new password.
* *Implement short-lived session tokens* to minimize the risk of session persistence.
* *Monitor session activity* and alert users of unusual behavior (e.g., logins from new locations or devices).

h4. *CWE-ID:*

* CWE-613: Insufficient Session Expiration

h4. *OWASP Top 10 (2021) Category:*

* *A07:2021 - Identification and Authentication Failures*"
Session Does Not Expire After More Than 3 Hours of Inactivity (refresh token mechanism failure),Bug,Security,"h3. *Session Does Not Expire After More Than 3 Hours of Inactivity*

*Severity:* Medium
*CVSS Score:* 6.3 (Medium)
*Vector:* {{CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L}}

h4. *Description:*

The application does not enforce automatic session expiration after prolonged inactivity. A valid user session remains active even after more than three hours of inactivity, increasing the risk of *session hijacking and unauthorized access*.

h4. *Impact:*

An attacker could:

* *Hijack an active session* if the user forgets to log out, especially on shared or compromised devices.
* *Exploit stolen session cookies* (if combined with insecure cookie attributes like missing {{HttpOnly}} or {{Secure}} flags).
* *Gain unauthorized access* if a legitimate user's session remains valid beyond a reasonable security threshold.

h4. *Root Cause:*

The application does not implement a proper *session timeout policy* to terminate inactive sessions after a predefined period.

h4. *Solution:*

* *Enforce session expiration* after a reasonable period of inactivity (e.g., 15-30 minutes).
* *Use session tokens with expiration timestamps* to automatically invalidate inactive sessions.
* *Implement session revocation mechanisms* upon logout or after security events like password changes.
* *Use secure cookie attributes* ({{HttpOnly}}, {{Secure}}, {{SameSite=Strict}}) to mitigate session hijacking risks.

h4. *CWE-ID:*

* CWE-613: Insufficient Session Expiration

h4. *OWASP Top 10 (2021) Category:*

* A07:2021 - Identification and Authentication Failures

Affected : [https://squirrel-ai-admin-dev.webelight.co.in/|https://squirrel-ai-admin-dev.webelight.co.in/admins]"
Missing Input Validations,Bug,Security,"h3. *Missing Input Validations*

*Severity:* Medium
*CVSS Score:* 6.5 (Medium)
*Vector:* {{CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:H/A:N}}

h4. *Description:*

The application fails to properly validate user-supplied input before processing it. This can lead to various security vulnerabilities, including:

* *Injection attacks* (e.g., SQL Injection, Command Injection)
* *Cross-Site Scripting (XSS)*
* *Server-Side Request Forgery (SSRF)*
* *Information disclosure due to improper data handling*

h4. *Impact:*

An attacker can exploit missing input validation to:

* *Manipulate database queries*, potentially extracting or modifying sensitive information.
* *Execute arbitrary commands* on the server.
* *Bypass security controls* by injecting crafted inputs.
* *Trigger unintended application behaviors*, leading to security compromises.

h4. *Root Cause:*

The application does not enforce strict validation on user inputs, allowing untrusted data to be processed without sanitization or verification.

h4. *Solution:*

* *Implement strict input validation* using allowlists, regex patterns, or data type enforcement.
* *Sanitize user inputs* to remove harmful characters before processing.
* *Use prepared statements* and parameterized queries for database interactions.
* *Validate data on both client and server-side* to ensure robust protection.

h4. *CWE-ID:*

* CWE-20: Improper Input Validation

h4. *OWASP Top 10 (2021) Category:*

* *A03:2021 - Injection*
* *A07:2021 - Identification and Authentication Failures*

Affected : [https://squirrel-ai-api-dev.webelight.co.in/25f9224e-564d-4af4-8a7b-810b54862e50/users/01b3f393-c8fe-44fc-bbd0-1b71cb3c2772/banks|https://squirrel-ai-api-dev.webelight.co.in/25f9224e-564d-4af4-8a7b-810b54862e50/users/01b3f393-c8fe-44fc-bbd0-1b71cb3c2772/banks]"
Insecure Cookie Configuration,Bug,Security,"h3. *Insecure Cookie Configuration*

*Severity:* Medium
*CVSS Score:* 5.3 (Medium)
*Vector:* {{CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N}}

h4. *Description:*

The application’s cookie configuration is insecure due to missing {{HttpOnly}} flags and having {{SameSite=None}}.

* The absence of the {{HttpOnly}} flag allows JavaScript running in the browser to access authentication cookies, making them susceptible to *session hijacking* via *Cross-Site Scripting (XSS)* attacks.
* {{SameSite=None}} without proper *CSRF protection* allows cross-site requests to be sent along with authentication cookies, increasing the risk of *Cross-Site Request Forgery (CSRF)* attacks.

h4. *Impact:*

An attacker can exploit these misconfigurations to:

* *Hijack user sessions* by accessing session cookies through JavaScript (if an XSS vulnerability exists).
* *Perform unauthorized actions* on behalf of authenticated users via CSRF attacks.
* *Expose sensitive authentication tokens* in third-party contexts.

h4. *Root Cause:*

The application does not enforce secure cookie attributes, making session cookies accessible to client-side scripts and external websites.

h4. *Solution:*

* *Set the* {{HttpOnly}} *flag* on all session-related cookies to prevent JavaScript access.
* *Set* {{SameSite=Lax}} *or* {{Strict}} to prevent CSRF attacks unless cross-site authentication is required.
* *Ensure the* {{Secure}} *flag is enabled* for HTTPS-only transmission.
* Implement *CSRF protection mechanisms* such as tokens and proper request validation.

h4. *CWE-ID:*

* CWE-1004: Sensitive Cookie Without ‘HttpOnly’ Flag
* CWE-1275: Sensitive Cookie Without ‘SameSite’ Attribute

h4. *OWASP Top 10 (2021) Category:*

* *A07:2021 - Identification and Authentication Failures*

Affected : [https://app.dev-shrubs.com/|https://app.dev-shrubs.com/]"
Application using Vunerable version of Next.js,Bug,Security,"h3. *Vulnerability: Application Using Vulnerable Version of Next.js*

*Severity:* High
*CWE-ID:* CWE-829: Inclusion of Functionality from Untrusted Control Sphere
*OWASP Top 10 (2021) Category:* A06:2021 – Vulnerable and Outdated Components

h3. *Description:*

The application is using an outdated and vulnerable version of *Next.js*, exposing it to multiple security risks. The affected versions contain several high-severity vulnerabilities that attackers could exploit:

1️⃣ *Allocation of Resources Without Limits or Throttling:*

* Attackers can construct *long-running requests* that keep Server Actions pending, leading to *server hangs and denial of service (DoS)*.
* *Affected Versions:* {{>=13.0.0 <13.5.8}}, {{>=14.0.0 <14.2.21}}, {{>=15.0.0 <15.1.2}}
* *Fixed in:* Next.js *13.5.8, 14.2.21, 15.1.2*

2️⃣ *Missing Authorization:*

* Pathname-based middleware checks can be bypassed in applications *without an i18n configuration*, allowing unauthorized access to restricted pages.
* *Affected Versions:* {{>=9.5.5 <14.2.15}}
* *Fixed in:* Next.js *14.2.15*

3️⃣ *Uncontrolled Recursion:*

* The *image optimization feature* can be abused to cause *high CPU consumption*, leading to *performance degradation or resource exhaustion attacks*.
* *Affected Versions:* {{>=10.0.0 <14.2.7}}, {{>=15.0.0-canary.0 <15.0.0-canary.109}}
* *Fixed in:* Next.js *14.2.7, 15.0.0-canary.109*

4️⃣ *Acceptance of Extraneous Untrusted Data With Trusted Data (Cache Poisoning):*

* Attackers can manipulate caching mechanisms by *sending crafted HTTP requests*, coercing the server to cache routes improperly.
* *Affected Versions:* {{>=13.0.0 <13.5.7}}, {{>=14.0.0 <14.2.10}}
* *Fixed in:* Next.js *13.5.7, 14.2.10*

h3. *Impact:*

🚨 *Denial of Service (DoS):* Attackers can send malicious requests that keep processes running indefinitely, affecting server availability.
🚨 *Unauthorized Access:* Missing authorization checks allow attackers to bypass access controls and view restricted pages.
🚨 *Resource Exhaustion:* Uncontrolled recursion can cause high CPU usage, impacting server performance.
🚨 *Cache Poisoning Attacks:* Attackers can manipulate cached routes, leading to potential security risks in applications using a page router.

*Root Cause:*

* The application *uses an outdated version of Next.js*, exposing it to *known vulnerabilities*.
* Lack of *input validation, throttling mechanisms, and authorization checks* within Next.js versions.

h3. *Steps to Reproduce:*

1️⃣ *Identify the Next.js version in use:*

* Run {{npm list next}} in the project directory.
* Look for the installed version in {{package.json}}.

2️⃣ *Check for vulnerabilities:*

* Compare the installed version against the affected versions mentioned above.
* Use security tools like *npm audit*, *Snyk*, or *Retire.js* to detect outdated dependencies.

3️⃣ *Exploit Scenarios:*

* Attempt to *send multiple long-running requests* and observe server resource consumption.
* Try accessing restricted routes ({{/foo}}) without an i18n configuration and check if access control is enforced.
* Send crafted HTTP requests to manipulate the caching behavior of non-dynamic SSR routes.

h3. *Solution:*

✅ *Upgrade Next.js to the latest secure version:*

* Run the following command to update to the latest *stable version*:
{{npm install next@latest }}
* If version compatibility is a concern, upgrade to at least: 
** *Next.js 13.5.8, 14.2.21, 15.1.2* (Fixes DoS due to resource allocation).
** *Next.js 14.2.15* (Fixes missing authorization).
** *Next.js 14.2.7* (Fixes uncontrolled recursion).
** *Next.js 14.2.10* (Fixes cache poisoning).

✅ *Implement Rate Limiting & Request Timeouts:*

* Restrict long-running requests using middleware:
{{export default function handler(req, res) {     res.setHeader('Connection', 'close'); // Close idle connections     res.setTimeout(5000); // Set timeout to 5 seconds     ... } }}

✅ *Secure Middleware Authorization Checks:*

* Enforce *role-based access control (RBAC)* and ensure pathname-based authorization checks work correctly.

✅ *Mitigate Cache Poisoning Risks:*

* Use *app router* instead of page router for enhanced security.
* Set proper *Cache-Control* headers:
{{res.setHeader('Cache-Control', 'private, no-store, no-cache, must-revalidate'); }}

h3. *Risk Classification:*

* *CVSS Score:* _8.8 - High_

Affected : [https://dev-shrubs.com/*|https://dev-shrubs.com/*] 

References : [https://dev.to/grenishrai/nextjs-15-stable-version-is-here-3hd2|https://dev.to/grenishrai/nextjs-15-stable-version-is-here-3hd2|smart-link]  ; [https://security.snyk.io/package/npm/next/14.2.5|https://security.snyk.io/package/npm/next/14.2.5|smart-link] "
Broken Access Control - Allows to save a shrub without joining it,Bug,Security,"h3. Broken Access Control – Unauthorized Download of Paid Content (High)

[https://dev-shrubs.com/vapt/project/testing-access-controls?tab=Members|https://dev-shrubs.com/vapt/project/testing-access-controls?tab=Members|smart-link] 

h4. *Description:*

The application allows users to *subscribe to paid shrubs* before downloading or saving their contents to their project drive. However, it was discovered that *unauthorized users* can bypass this restriction by *modifying session cookies*:

1️⃣ A *legitimate, subscribed user* captures the request when saving content to their *project drive*.
2️⃣ An *unauthorized user* intercepts their own request and *replaces their session cookies* with those from the subscribed user’s request.
3️⃣ The *server does not properly verify the user’s subscription status*, allowing unauthorized users to *save and access paid content without a subscription*.

h4. *Impact:*

⚠️ *Revenue Loss:* Users can *bypass payment requirements*, leading to *financial loss* for the business.
⚠️ *Unauthorized Data Access:* Paid content becomes *freely accessible*, undermining the paywall system.
⚠️ *Privacy Concerns:* Sensitive or *exclusive content* meant for subscribed users is exposed.
⚠️ *Brand Reputation Damage:* Users may *exploit and share* paid content illegally, damaging business credibility.

h4. *Root Cause:*

* *Session cookies are used for access control instead of server-side validation.*
* *No backend validation of the user’s subscription status* when saving content.
* *Session tokens are not properly tied to user privileges.*

h4. *Suggested Fixes:*

✅ *Enforce Server-Side Subscription Checks:*

* The backend must verify the *user’s subscription status* before allowing content downloads: 
{{if not user.is_subscribed(project_id):     return ""Access Denied: You must subscribe to save this content"", 403 }}

✅ *Use Token-Based Access Control Instead of Cookies:*

* Implement *JWT (JSON Web Token)* or session-bound tokens that cannot be easily swapped.
* Example JWT payload: 
{{{   ""user_id"": ""12345"",   ""subscription_status"": ""active"",   ""exp"": ""2025-03-01T00:00:00Z"" } }}

✅ *Bind Session Tokens to User Identity:*

* Include *user-agent and IP checks* in session validation: 
{{if request.user.session_id != stored_session_id or request.ip != stored_ip:     return ""Session mismatch detected"", 401 }}

✅ *Implement Rate Limiting and Session Monitoring:*

* Detect and block *multiple requests with swapped session cookies* from the same IP or device.

✅ *Encrypt and Secure Cookies:*

* Set cookies with *HttpOnly*, *Secure*, and *SameSite=Strict* flags to prevent tampering.
* Example: 
{{response.set_cookie(""session_id"", session_value, httponly=True, secure=True, samesite='Strict') }}

✅ *Audit Logs for Subscription-Based Actions:*

* Log all content download attempts, *including user ID, subscription status, and session details*.

h4. *CWE-ID:*

* *CWE-639:* Authorization Bypass Through User-Controlled Key
* *CWE-384:* Session Fixation

h4. *OWASP Top 10 (2021) Category:*

* *A01:2021 – Broken Access Control*

h4. *CVSS Score:* *8.2 (High)*"
Broken Access Control - Delete Shrub Functionality,Bug,Security,"h3. Broken Access Control – Unauthorized Project Deletion (Critical)

Method : Delete ; URL : [https://api.dev-shrubs.com/api/projects/9e6bca60-a708-41c5-af18-953d8897c906|https://api.dev-shrubs.com/api/projects/9e6bca60-a708-41c5-af18-953d8897c906]

h4. *Description:*

It was observed that when a *project is shared* with a user, the *project ID is disclosed in the HTTP response* when the shared project URL is accessed.

1️⃣ The *shared user* captures the request while deleting a project *they personally created*.
2️⃣ By *modifying the project ID* in the request to that of a *shared project*, the user was able to *delete the project data* they did not own.
3️⃣ The *frontend dashboard* did not reflect any immediate change, giving the illusion that the project still existed.
4️⃣ However, when the *owner or any user tried accessing the project*, a *server-side error* was thrown, stating that the *data was missing*.

h4. *Impact:*

⚠️ *Unauthorized Data Deletion:* Any user with *shared project access* can *delete critical project data*, disrupting business operations.
⚠️ *Data Integrity Risk:* No authorization checks prevent users from *deleting projects they do not own*.
⚠️ *Business Disruption:* Legitimate users may find their *projects inaccessible*, leading to *loss of important information*.
⚠️ *Potential Abuse:* Malicious users can *target specific users or businesses* by deleting projects *without detection on the frontend*.

h4. *Root Cause:*

* *Project deletion API does not verify project ownership.*
* *Project ID is disclosed in the response, allowing ID tampering.*
* *No backend validation prevents unauthorized users from deleting shared projects.*
* *Frontend does not reflect deleted projects, delaying detection.*

h4. *Suggested Fixes:*

✅ *Implement Ownership Validation Before Deletion:*

* Ensure *only the project owner* can delete their project.
* Example backend check: 
{{if request.user.id != project.owner_id:     return ""Unauthorized: You cannot delete this project"", 403 }}

✅ *Use Access Control Lists (ACLs):*

* Allow only *authorized roles* to perform delete actions.
* Example rule-based control: 
{{if not user.has_permission(""delete_project"", project):     return ""Access Denied"", 403 }}

✅ *Prevent Project ID Enumeration:*

* *Do not expose project IDs* in responses. Instead, use *hashed or obfuscated identifiers*: 
{{project_uuid = hashlib.sha256(str(project.id).encode()).hexdigest() }}

✅ *Implement Soft Deletion Instead of Hard Deletion:*

* Use a *soft delete flag* ({{is_deleted=True}}) instead of permanently deleting records: 
{{UPDATE projects SET is_deleted = TRUE WHERE id = ?; }}
* This ensures data can be recovered in case of accidental or unauthorized deletion.

✅ *Audit Logs for Deletion Actions:*

* Maintain *logs of all project deletion attempts*, including *user ID, timestamp, and project ID*.
* Example log entry: 
{{{   ""user_id"": ""12345"",   ""action"": ""DELETE_PROJECT"",   ""project_id"": ""67890"",   ""timestamp"": ""2025-02-21T12:34:56Z"" } }}

h4. *CWE-ID:*

* *CWE-922:* Insecure Storage of Sensitive Information
* *CWE-862:* Missing Authorization

h4. *OWASP Top 10 (2021) Category:*

* *A01:2021 – Broken Access Control*

h4. *CVSS Score:* *9.1 (Critical)*"
Bypass Suspension Restrictions,Bug,Security,"h3. Suspended Project Cloning Bypass – High

h4. [https://dev-shrubs.com/VAPT/project/advanced-tech-pvt-ltd?tab=Members|https://dev-shrubs.com/VAPT/project/advanced-tech-pvt-ltd?tab=Members|smart-link] 

h4. *Description:*

The *project management system* allows admins to *suspend projects* that violate policies. Suspended projects and their inner content are expected to be *inaccessible*.

However, during testing, it was discovered that:
1️⃣ A project owner (*vapt-sh*) created a project and shared it with multiple users.
2️⃣ Some users (*user-3, user-4*) reported the project, leading to *admin suspension*.
3️⃣ The owner (*vapt-sh*) received a *suspension notification* but noticed the option to *clone* the project still existed.
4️⃣ The *clone function* successfully created a duplicate *with full access to all contents*.
5️⃣ Another user (*vapt12*) had the *original URL* saved and *forced browsed it* after suspension.
6️⃣ *Cloned contents were fully accessible*, while the original project remained blurred due to suspension.

h4. *Impact:*

⚠️ *Policy Evasion:* Suspended projects can be revived and accessed freely, *rendering the suspension ineffective*.
⚠️ *Unauthorized Access:* Users with prior URLs can *force browse* and view *cloned versions* of suspended projects.
⚠️ *Data Persistence Risk:* Suspended or *policy-violating content remains available*, creating *compliance risks*.
⚠️ *Potential Abuse:* *Malicious users* can exploit this loophole to *circumvent bans* and keep re-uploading restricted content.

h4. *Root Cause:*

* *Lack of suspension enforcement on cloned projects.*
* *Clone function does not inherit the ""suspended"" status of the original project.*
* *Force browsing allows access to cloned versions via previously known URLs.*

h4. *Suggested Fixes:*

✅ *Apply Suspension Inheritance:*

* When a *project is suspended*, all cloned versions should *inherit the suspension* automatically.
* Example SQL update to ensure cloned projects are also marked as suspended: 
{{UPDATE projects  SET status = 'suspended'  WHERE original_project_id = (SELECT id FROM projects WHERE id = ?); }}

✅ *Restrict Cloning for Suspended Projects:*

* *Disable the 'Clone' option* for any project marked as *suspended*.
* Implement a *check in the backend* before allowing cloning: 
{{if project.status == ""suspended"":     return ""Cloning not allowed for suspended projects"", 403 }}

✅ *Enforce Authorization on Project Access:*

* Validate *project status before rendering content*.
* Example logic in the API: 
{{if project.status == ""suspended"":     return ""This project is no longer available"", 403 }}

✅ *Invalidate Shared URLs After Suspension:*

* *Automatically expire links* when a project is suspended.
* Implement *signed URLs* with expiration timestamps.

h4. *CWE-ID:*

* *CWE-862:* Missing Authorization
* *CWE-284:* Improper Access Control

h4. *OWASP Top 10 (2021) Category:*

* *A01:2021 – Broken Access Control*

h4. *CVSS Score:* *8.1 (High)*"
Exposure of Admin Path in User's Reporting Request Body,Bug,Security,"h3. Exposure of Admin Path in User's Reporting Request Body – High

h4. [https://dev-shrubs.com/mikey/project/ai-the-future-of-tech?tab=Members|https://dev-shrubs.com/mikey/project/ai-the-future-of-tech?tab=Members|smart-link] 

h4. *Description:*

In the *Google Drive-like project management application*, it was observed that when a *user reports a project*, the request body *exposes the admin-only endpoint* named *""flagging""*. Since the *admin and user panels share the same codebase*, only differing in *roles*, an attacker can *force browse* the flagging endpoint and access *reported instances*.

By manually navigating to this endpoint, a *regular user* was able to *view and manipulate reported projects and users*, effectively *escalating privileges* and bypassing access control mechanisms.

h4. *Impact:*

🚨 *Unauthorized Access to Admin Features:* A normal user can *view all reported instances* meant for admins.
🛑 *Data Manipulation:* Attackers can *edit, delete, or modify reports* to remove evidence or falsely report projects.
💀 *Potential Data Exposure:* Since reported projects might contain *sensitive information*, attackers could gain *unauthorized insights*.
⚠️ *Privilege Escalation Risk:* Since roles are not enforced at the backend, attackers could *extend their access beyond intended limits*.

h4. *Root Cause:*

* *Exposed Admin Endpoint in User Request Body:* The *""flagging""* endpoint is visible in the *user-side reporting request*, revealing its existence.
* *Shared Admin & User Panel with Weak Role Validation:* Instead of a *separate admin panel*, the system relies on *role-based checks*, which were missing or improperly enforced.
* *Improper Access Control Implementation:* The *backend does not restrict access* based on roles, allowing any user to force browse admin endpoints.

h4. *Steps to Reproduce:*

1️⃣ *User Reports a Project:*

* Share a project and subscribe to it.
* Report the project due to false details.
2️⃣ *Intercept the Request Using Burp Suite:*
* Notice the *""flagging""* endpoint exposed in the request body.
3️⃣ *Force Browse to the Admin Flagging Endpoint:*
* Manually navigate to {{/admin/flagging}} or use a tool like *FFUF* or *Burp Intruder* to discover the full path.
* Observe that *reported projects and users* are accessible.
4️⃣ *Modify or Delete Reported Instances:*
* Use *POST/PUT/DELETE* requests to *modify or remove* reported projects.

h4. *Solution:*

✅ *Implement Proper Role-Based Access Control (RBAC):*

* Ensure the backend enforces *strict role checks* before granting access.
* Example for *RBAC in Laravel*: 
{{if (!Auth::user()->hasRole('admin')) {     abort(403, 'Unauthorized access.'); } }}

✅ *Restrict Access to Admin Endpoints:*

* Admin URLs ({{/admin/*}}) should only be *accessible by admin roles*.
 ✅ *Use Separate Admin Panel Instead of Role-Based Views:*
* Instead of merging admin and user roles in a *single codebase*, create *separate admin routes and views*.
 ✅ *Secure API Endpoints with Middleware:*
* Example in *Express.js*: 
{{app.use('/admin', (req, res, next) => {     if (!req.user || req.user.role !== 'admin') {         return res.status(403).json({ error: 'Access denied' });     }     next(); }); }}

✅ *Validate User Privileges in Every Request:*

* Do *not expose admin paths* in user requests or responses.
* Validate role permissions before serving *any sensitive admin data*.

h4. *CWE-ID:*

* *CWE-285:* Improper Authorization
* *CWE-200:* Exposure of Sensitive Information

h4. *OWASP Top 10 (2021) Category:*

* *A01:2021 – Broken Access Control*
* *A05:2021 – Security Misconfiguration*

h4. *CVSS Score:* *8.2 (High)*"
No Filetype Validations,Bug,Security,"h3. No Filetype Validations – High

h4. [*https://squirrel-ai-api-dev.webelight.co.in/25f9224e-564d-4af4-8a7b-810b54862e50/msme-confirmations/9c1c66cb-5661-4dc0-aa8b-76b3f0cd991a/action/bb1ff362-44cd-4ce1-ad44-97f1b14435db*|https://squirrel-ai-api-dev.webelight.co.in/25f9224e-564d-4af4-8a7b-810b54862e50/msme-confirmations/9c1c66cb-5661-4dc0-aa8b-76b3f0cd991a/action/bb1ff362-44cd-4ce1-ad44-97f1b14435db]

h4. *Description:*

The application allows *MSME vendors* to submit their *Vendor Certificates* for verification. However, during testing, it was observed that *file type validation was missing or weak*, allowing users to *bypass restrictions* and upload potentially malicious files.

By renaming a file from *malicious.php* to *malicious.php.pdf*, the backend still *accepted* the file for upload. This indicates that the application is relying only on *client-side validation* or performing weak *file extension checks*, making it vulnerable to *arbitrary file uploads*.

h4. *Impact:*

🚨 *Remote Code Execution (RCE):* If the server executes uploaded files, attackers could upload and execute *malicious scripts*.
🛑 *Unauthorized Access:* Attackers could upload web shells to gain *unauthorized access* to the system.
💀 *Data Exfiltration:* If stored improperly, sensitive *business/vendor documents* could be accessed and leaked.
⚠️ *Bypassing Business Logic:* Users can upload *non-certificate files*, potentially leading to *fraudulent verifications*.

h4. *Root Cause:*

* *Missing Server-Side Validation:* The backend *does not verify* the actual file type, relying on *filename extensions*.
* *Client-Side Validation Only:* If only JavaScript or *HTML5 file input filters* are used, attackers can easily *bypass* them.
* *MIME Type Mismatch Not Handled:* The application *does not check* the actual *MIME type* of uploaded files.

h4. *Steps to Reproduce:*

1️⃣ Navigate to the *Vendor Certificate Upload* page.
2️⃣ Select a *valid* certificate file (e.g., {{certificate.pdf}}).
3️⃣ Rename a *malicious script* (e.g., {{malicious.php}}) to {{malicious.php.pdf}}.
4️⃣ Upload the file and intercept the request using *Burp Suite*.
5️⃣ Observe that the file *gets uploaded successfully* despite the invalid file type.

h4. *Solution:*

✅ *Enforce Server-Side MIME Type Validation:*

* Use {{finfo_file()}} in PHP or similar server-side checks to *validate the file type*.
✅ *Restrict Allowed Extensions & MIME Types:*
* Only allow specific *whitelisted extensions* (e.g., {{PDF, PNG, JPG}}).
* Example for PHP: 
{{$allowed_types = ['application/pdf', 'image/png', 'image/jpeg']; $file_mime = mime_content_type($_FILES['uploaded_file']['tmp_name']); if (!in_array($file_mime, $allowed_types)) {     die(""Invalid file type.""); } }}

✅ *Rename Files Upon Upload:*

* Store files with *random names and without original extensions* (e.g., {{hashed-filename.dat}}).
 ✅ *Disable Script Execution in Upload Directories:*
* If using Apache, add an {{.htaccess}} file in the upload directory: 
{{<FilesMatch ""\.(php|pl|cgi|sh|py)$"">     Order Allow,Deny     Deny from all </FilesMatch> }}

✅ *Use Content-Disposition Header:*

* Prevent browsers from executing uploaded files by forcing downloads. 
{{header('Content-Disposition: attachment; filename=""document.pdf""'); }}

h4. *CWE-ID:*

* *CWE-434:* Unrestricted Upload of File with Dangerous Type
* *CWE-20:* Improper Input Validation

h4. *OWASP Top 10 (2021) Category:*

* *A05:2021 – Security Misconfiguration*
* *A08:2021 – Software and Data Integrity Failures*

h4. *CVSS Score:* *8.6 (High)*"
OTP Disclosed in Response ,Bug,Security,"h3. OTP Disclosed in Response – Critical

h4. *Description:*

The application allows an *MSME vendor* to confirm their *status and details* to the *Tenant-Admins* for smooth business operations. When a *tenant initiates a request*, an *email is sent* to the vendor asking them to submit their *MSME Certificate* for verification. After submission, an *OTP is generated and sent* to the vendor's registered email.

However, during testing, it was found that *the OTP is disclosed in the API response itself* when the vendor submits the details. This appears to be a *leftover debugging mechanism* from the development phase that was *not removed from production*, exposing a *critical security flaw*.

h4. *Impact:*

* *Account Takeover:* Attackers can intercept the response and use the OTP to *bypass the vendor verification process*.
* *Business Disruption:* Unauthorized changes to MSME vendor details could *affect business operations* and lead to financial losses.
* *Sensitive Information Exposure:* OTPs should always be kept *confidential*, and revealing them in the API response *compromises authentication security*.
* *Regulatory Non-Compliance:* Many security frameworks (such as *PCI DSS, GDPR, and NIST*) *prohibit the exposure of authentication factors* like OTPs.

h4. *Root Cause:*

* *Debugging Code Left in Production:* The OTP was *likely logged* in responses during *development and testing* but was *never removed* before deployment.
* *Lack of Secure Logging Practices:* No *proper security checks* were in place to prevent *sensitive data exposure* in API responses.
* *Weak Authentication Flow:* OTPs should *only be delivered securely via email or SMS*, not disclosed in API responses.

h4. *Steps to Reproduce:*

1️⃣ A *Tenant-Admin* sends a verification request to an *MSME vendor*.
2️⃣ The *vendor submits the MSME Certificate* via the web application.
3️⃣ The application triggers an *OTP to the vendor's email*.
4️⃣ Upon submission, inspect the *API response using a proxy tool like Burp Suite*.
5️⃣ Notice that *the OTP is directly included in the response*, allowing *anyone with access to the API response* to retrieve it and *bypass the verification process*.

h4. *Solution:*

✅ *Remove OTP from API Response:*

* Ensure that *OTPs are never included in API responses* and are only *sent securely via email or SMS*.
✅ *Implement Secure Logging & Debugging Practices:*
* *Strip sensitive data* before sending any response in production environments.
✅ *Enforce OTP Expiry & Rate Limiting:*
* OTPs should expire after a short period (e.g., *5 minutes*) and have a *limit on incorrect attempts*.
✅ *Use Secure Transmission (HTTPS + TLS):*
* Ensure *all OTP transmissions* are *encrypted* and protected from *MITM attacks*.
✅ *Enable Security Headers in API Responses:*
* Use *Content Security Policy (CSP)* and *Referrer Policy* to mitigate *data leakage risks*.

h4. *CWE-ID:*

* *CWE-200:* Exposure of Sensitive Information
* *CWE-522:* Insufficiently Protected Credentials

h4. *OWASP Top 10 (2021) Category:*

* *A01:2021 – Broken Access Control*
* *A03:2021 – Sensitive Data Exposure*

h4. *CVSS Score:* *9.7 (Critical)*"
